niche_breadth,type
12.95018226,rare
23.84340045,rare
14.72099448,rare
19.06618962,rare
11.27830688,rare
15.13678906,rare
15.47093451,rare
15.91597275,rare
9.702353484,rare
23.91922639,rare
24.19447641,rare
18.42681858,rare
26.58027813,rare
22.20168955,rare
14.85865724,rare
18.64748201,rare
12.05581395,rare
21.28952772,rare
9.015652174,rare
23.88940092,rare
16.37914692,rare
18.74864376,rare
24.33802817,rare
17.7838765,rare
17.84509466,rare
6.506204263,rare
26.45407503,rare
19.16494845,rare
10.92944949,rare
16.45132743,rare
21.10319917,rare
28.12792297,rare
23.86114352,rare
15.50341168,rare
6.881911263,rare
8.014308426,rare
24.53041363,rare
24.65036675,rare
27.85082873,rare
28.48022599,rare
21.18067227,rare
26.33245033,rare
22.26315789,rare
20.73096976,rare
23.25263158,rare
26.47270306,rare
22.56640182,rare
12.48407643,rare
23.22274882,rare
20.41666667,rare
16.72354949,rare
10.90100111,rare
20.98501071,rare
27.52808989,rare
23.4763062,rare
23.36275695,rare
24.80231065,rare
24.5501906,rare
25.79572764,rare
25.38896189,rare
29.67895545,rare
25.80487805,rare
24.99212598,rare
25.45989305,rare
6.203257329,rare
21.99076212,rare
23.51111111,rare
21.49435666,rare
17.28130672,rare
19.69464848,rare
18.02977906,rare
26.25034965,rare
21.6982659,rare
22.69528416,rare
13.99092284,rare
20.10434783,rare
25.61772853,rare
14.03338392,rare
20.82882883,rare
19.88817204,rare
21.55710956,rare
12.73829201,rare
18.0625,rare
20.8758465,rare
25.9047619,rare
17.4490566,rare
18.17048853,rare
12.30587441,rare
22.98234552,rare
19.74539545,rare
18.80804954,rare
17.92035398,rare
29.92666667,rare
14.83966942,rare
26.02318841,rare
15.97508897,rare
17.33204633,rare
22.67171717,rare
22.50125313,rare
19.7753304,rare
26.02318841,rare
25.43342776,rare
19.80851064,rare
12.39593553,rare
28.85644372,rare
17.05785921,rare
20.26231386,rare
20.30884041,rare
25.16216216,rare
25.10662824,rare
18.03726708,rare
18.15,rare
21.617866,rare
26.72392638,rare
19.44642857,rare
21.94458438,rare
28.10322581,rare
22.98680739,rare
27.99510604,rare
14.17093311,rare
17.82035306,rare
17.52911134,rare
21.75031686,rare
8.933368037,rare
13.21093149,rare
21.47809762,rare
24.70760234,rare
14.49399657,rare
24.35158501,rare
24.00568182,rare
25.84097859,rare
14.90299824,rare
14.24957841,rare
13.41269841,rare
18.14721919,rare
24.72659733,rare
16.69107322,rare
16.92878942,rare
18.06840391,rare
29.55772647,rare
13.97229219,rare
