Class	FW1	FW10	FW11	FW12	FW13	FW14	FW15	FW16	FW17	FW18	FW2	FW3	FW4	FW5	FW6	FW7	FW8	FW9	RE1	RE10	RE11	RE12	RE2	RE3	RE4	RE5	RE6	RE7	RE8	RE9	SW1	SW10	SW11	SW12	SW13	SW14	SW15	SW16	SW17	SW18	SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9
Epsilonproteobacteria	0.331	1.34	2.09	5.72	0.748	3.02	2.51	0.271	0.316	2.13	0.859	0.719	0.916	0.738	0.838	6.11	3.26	4.87	0.581	0.505	0.592	0.888	0.723	0.329	0.32	0.772	0.653	1.59	1.47	1.67	0.466	0.226	0.312	0.635	0.273	0.24	0.345	0.185	0.14	0.637	0.542	0.242	0.483	0.851	0.397	0.279	0.253	0.826
Bacteroidia	0.0877	0.275	0.246	0.729	0.115	0.588	0.386	0.039	0.0507	0.329	0.197	0.171	0.156	0.162	0.185	1.06	0.528	0.655	0.14	0.0779	0.0935	0.17	0.199	0.0779	0.0409	0.0974	0.0546	0.232	0.242	0.195	0.164	0.0448	0.0468	0.134	0.0701	0.076	0.0857	0.0546	0.0546	0.134	0.129	0.0643	0.0896	0.208	0.115	0.0643	0.0701	0.0468
Opitutae	0.873	0.47	0.36	0.454	0.249	0.495	0.355	0.249	0.152	0.355	1.09	0.727	0.696	0.772	0.405	0.44	0.493	0.419	0.345	0.275	0.193	0.267	0.323	0.271	0.201	0.224	0.477	0.321	0.302	0.3	0.483	0.341	0.212	0.177	0.542	0.534	0.308	0.261	0.246	0.345	0.351	0.337	0.281	0.265	0.286	0.61	0.499	0.304
Chlamydiia	0.17	0.115	0.146	0.294	0.15	0.181	0.142	0.103	0.0643	0.269	0.234	0.187	0.232	0.222	0.191	0.158	0.236	0.14	0.0662	0.0487	0.0292	0.0292	0.0682	0.0468	0.0487	0.156	0.173	0.0838	0.0546	0.0565	0.0818	0.0624	0.039	0.0409	0.0624	0.0916	0.0643	0.0487	0.0565	0.0468	0.0935	0.076	0.076	0.0721	0.0565	0.0429	0.0624	0.0604
Verrucomicrobiae	0.288	1.54	1.26	0.491	0.136	0.357	0.314	0.0916	0.107	0.306	0.425	0.3	0.549	0.335	0.263	0.331	0.376	0.427	0.308	0.214	0.228	0.286	0.255	0.281	0.129	0.138	0.17	1.24	0.45	1.7	0.409	0.261	0.158	0.113	0.193	0.173	0.546	0.205	0.191	0.121	0.22	0.191	0.216	0.23	0.244	0.38	0.345	0.339
Bacilli	0.333	0.263	0.719	0.446	0.302	0.351	0.234	0.107	0.454	0.485	0.343	0.228	0.286	0.302	0.234	0.224	0.29	0.207	0.399	0.076	0.0721	0.123	0.417	0.47	2.84	1.27	0.44	0.105	0.117	0.125	0.111	0.321	0.308	0.321	0.121	0.146	0.138	0.158	0.101	0.117	0.117	0.179	0.711	0.277	0.382	0.36	0.368	0.316
Subdivision3	0.832	0.396	0.29	0.401	0.304	0.417	0.351	0.232	0.183	0.532	0.624	0.47	0.791	0.567	0.374	0.251	0.411	0.253	0.275	0.0994	0.0838	0.0838	0.31	0.413	0.197	0.32	0.46	0.136	0.134	0.171	0.22	0.138	0.123	0.193	0.359	0.3	0.314	0.224	0.187	0.134	0.205	0.269	0.265	0.185	0.345	0.195	0.22	0.214
Gemmatimonadetes	0.345	0.22	0.255	0.279	0.123	0.234	0.15	0.132	0.0331	0.259	0.419	0.251	0.372	0.362	0.193	0.232	0.265	0.21	0.0916	0.0838	0.0546	0.0546	0.0546	0.0585	0.0253	0.142	0.234	0.15	0.166	0.183	0.0877	0.0701	0.039	0.0487	0.121	0.0935	0.127	0.0857	0.0604	0.0565	0.0662	0.0799	0.115	0.0974	0.115	0.0877	0.0896	0.0955
Anaerolineae	0.0292	0.0604	0.0292	0.109	0.0409	0.0585	0.0682	0.0273	0.0351	0.0429	0.0487	0.0487	0.0429	0.0546	0.0916	0.0916	0.0818	0.0779	0.0624	0.0643	0.0273	0.0799	0.076	0.0565	0.0351	0.0604	0.0877	0.121	0.127	0.203	0.0409	0.0701	0.0546	0.0487	0.037	0.0507	0.0604	0.0292	0.0507	0.0643	0.0448	0.0448	0.0526	0.0701	0.0487	0.0546	0.0312	0.0799
Mollicutes	0.123	0.242	0.16	0.218	0.489	0.353	0.242	0.362	0.366	0.183	0.257	0.212	0.17	0.171	0.323	0.275	0.339	0.162	0.452	0.347	0.376	0.323	0.364	0.335	0.261	0.284	0.288	0.405	0.325	0.351	1.58	0.339	0.399	0.283	0.699	0.664	0.477	0.442	0.384	0.705	0.573	0.549	0.226	0.234	0.195	0.61	0.571	0.364
Spartobacteria	0.863	0.472	0.501	0.46	0.273	0.431	0.392	0.234	0.183	0.953	0.53	0.744	1.25	0.826	0.386	0.267	0.514	0.267	0.17	0.103	0.076	0.164	0.103	0.197	0.246	0.433	0.824	0.244	0.175	0.333	0.113	0.132	0.0624	0.074	0.125	0.109	0.224	0.123	0.0624	0.076	0.15	0.226	0.39	0.29	0.298	0.0916	0.123	0.154
Acidobacteria_Gp4	0.0546	0.111	0.0604	0.0994	0.0526	0.0507	0.0604	0.0331	0.00779	0.0468	0.074	0.0468	0.0468	0.0429	0.0331	0.0546	0.0585	0.0468	0.00779	0.0136	0.0195	0.0409	0.0351	0.0195	0.0312	0.0409	0.037	0.0565	0.0701	0.0877	0.0156	0.0156	0.0039	0.00195	0.0117	0.0136	0.0273	0.00974	0.00779	0.0156	0.0156	0.0487	0.0175	0.0273	0.0312	0.0234	0.0117	0.0195
