ID,type,node.degree,relative.degree,network,Salinity
ASV_133,abundant,4,0.534045394,n2,2.14375
ASV_134,abundant,4,0.534045394,n2,2.14375
ASV_136,abundant,5,0.667556742,n2,2.14375
ASV_137,abundant,5,0.667556742,n2,2.14375
ASV_14,abundant,30,4.005340454,n2,2.14375
ASV_140,abundant,5,0.667556742,n2,2.14375
ASV_141,abundant,2,0.267022697,n2,2.14375
ASV_142,abundant,5,0.667556742,n2,2.14375
ASV_144,abundant,3,0.400534045,n2,2.14375
ASV_146,abundant,36,4.806408545,n2,2.14375
ASV_148,abundant,8,1.068090788,n2,2.14375
ASV_15,abundant,30,4.005340454,n2,2.14375
ASV_151,abundant,2,0.267022697,n2,2.14375
ASV_152,abundant,8,1.068090788,n2,2.14375
ASV_153,abundant,1,0.133511348,n2,2.14375
ASV_155,abundant,16,2.136181575,n2,2.14375
ASV_157,abundant,1,0.133511348,n2,2.14375
ASV_158,abundant,20,2.670226969,n2,2.14375
ASV_159,abundant,2,0.267022697,n2,2.14375
ASV_16,abundant,9,1.201602136,n2,2.14375
ASV_161,abundant,1,0.133511348,n2,2.14375
ASV_162,abundant,2,0.267022697,n2,2.14375
ASV_163,abundant,9,1.201602136,n2,2.14375
ASV_164,abundant,8,1.068090788,n2,2.14375
ASV_165,abundant,3,0.400534045,n2,2.14375
ASV_166,abundant,1,0.133511348,n2,2.14375
ASV_17,abundant,12,1.602136182,n2,2.14375
ASV_170,abundant,24,3.204272363,n2,2.14375
ASV_171,abundant,12,1.602136182,n2,2.14375
ASV_173,abundant,7,0.934579439,n2,2.14375
ASV_174,abundant,2,0.267022697,n2,2.14375
ASV_176,abundant,22,2.937249666,n2,2.14375
ASV_177,abundant,25,3.337783712,n2,2.14375
ASV_178,abundant,3,0.400534045,n2,2.14375
ASV_179,abundant,28,3.738317757,n2,2.14375
ASV_180,abundant,9,1.201602136,n2,2.14375
ASV_181,abundant,7,0.934579439,n2,2.14375
ASV_182,abundant,5,0.667556742,n2,2.14375
ASV_183,abundant,8,1.068090788,n2,2.14375
ASV_184,abundant,1,0.133511348,n2,2.14375
ASV_185,abundant,6,0.801068091,n2,2.14375
ASV_188,abundant,5,0.667556742,n2,2.14375
ASV_19,abundant,23,3.070761015,n2,2.14375
ASV_190,abundant,5,0.667556742,n2,2.14375
ASV_191,abundant,28,3.738317757,n2,2.14375
ASV_194,abundant,4,0.534045394,n2,2.14375
ASV_198,abundant,9,1.201602136,n2,2.14375
ASV_2,abundant,19,2.536715621,n2,2.14375
ASV_200,abundant,6,0.801068091,n2,2.14375
ASV_201,abundant,32,4.272363151,n2,2.14375
ASV_21,abundant,13,1.73564753,n2,2.14375
ASV_211,abundant,1,0.133511348,n2,2.14375
ASV_22,abundant,8,1.068090788,n2,2.14375
ASV_23,abundant,14,1.869158879,n2,2.14375
ASV_26,abundant,18,2.403204272,n2,2.14375
ASV_268,abundant,10,1.335113485,n2,2.14375
ASV_27,abundant,10,1.335113485,n2,2.14375
ASV_29,abundant,21,2.803738318,n2,2.14375
ASV_3,abundant,17,2.269692924,n2,2.14375
ASV_30,abundant,24,3.204272363,n2,2.14375
ASV_31,abundant,9,1.201602136,n2,2.14375
ASV_32,abundant,22,2.937249666,n2,2.14375
ASV_34,abundant,13,1.73564753,n2,2.14375
ASV_35,abundant,15,2.002670227,n2,2.14375
ASV_36,abundant,25,3.337783712,n2,2.14375
ASV_37,abundant,15,2.002670227,n2,2.14375
ASV_38,abundant,28,3.738317757,n2,2.14375
ASV_39,abundant,26,3.47129506,n2,2.14375
ASV_4,abundant,4,0.534045394,n2,2.14375
ASV_40,abundant,3,0.400534045,n2,2.14375
ASV_42,abundant,21,2.803738318,n2,2.14375
ASV_44,abundant,12,1.602136182,n2,2.14375
ASV_45,abundant,15,2.002670227,n2,2.14375
ASV_46,abundant,26,3.47129506,n2,2.14375
ASV_48,abundant,11,1.468624833,n2,2.14375
ASV_49,abundant,1,0.133511348,n2,2.14375
ASV_5,abundant,25,3.337783712,n2,2.14375
ASV_50,abundant,4,0.534045394,n2,2.14375
ASV_52,abundant,7,0.934579439,n2,2.14375
ASV_53,abundant,18,2.403204272,n2,2.14375
ASV_54,abundant,8,1.068090788,n2,2.14375
ASV_55,abundant,1,0.133511348,n2,2.14375
ASV_56,abundant,3,0.400534045,n2,2.14375
ASV_57,abundant,5,0.667556742,n2,2.14375
ASV_59,abundant,1,0.133511348,n2,2.14375
ASV_6,abundant,6,0.801068091,n2,2.14375
ASV_62,abundant,9,1.201602136,n2,2.14375
ASV_63,abundant,18,2.403204272,n2,2.14375
ASV_64,abundant,8,1.068090788,n2,2.14375
ASV_65,abundant,27,3.604806409,n2,2.14375
ASV_68,abundant,21,2.803738318,n2,2.14375
ASV_7,abundant,4,0.534045394,n2,2.14375
ASV_71,abundant,24,3.204272363,n2,2.14375
ASV_72,abundant,5,0.667556742,n2,2.14375
ASV_73,abundant,37,4.939919893,n2,2.14375
ASV_74,abundant,8,1.068090788,n2,2.14375
ASV_75,abundant,15,2.002670227,n2,2.14375
ASV_77,abundant,25,3.337783712,n2,2.14375
ASV_78,abundant,3,0.400534045,n2,2.14375
ASV_79,abundant,1,0.133511348,n2,2.14375
ASV_8,abundant,20,2.670226969,n2,2.14375
ASV_80,abundant,4,0.534045394,n2,2.14375
ASV_83,abundant,10,1.335113485,n2,2.14375
ASV_84,abundant,2,0.267022697,n2,2.14375
ASV_843,abundant,28,3.738317757,n2,2.14375
ASV_85,abundant,19,2.536715621,n2,2.14375
ASV_86,abundant,5,0.667556742,n2,2.14375
ASV_87,abundant,10,1.335113485,n2,2.14375
ASV_88,abundant,6,0.801068091,n2,2.14375
ASV_91,abundant,29,3.871829105,n2,2.14375
