,Difference,Network,Salinity
505,3.566878981,n1,0.81375
506,3.439490446,n1,0.81375
507,3.312101911,n1,0.81375
508,3.057324841,n1,0.81375
509,3.439490446,n1,0.81375
510,-0.25477707,n1,0.81375
511,0.382165605,n1,0.81375
512,3.566878981,n1,0.81375
513,3.312101911,n1,0.81375
514,3.312101911,n1,0.81375
515,3.566878981,n1,0.81375
516,3.439490446,n1,0.81375
517,3.566878981,n1,0.81375
518,2.675159236,n1,0.81375
519,3.439490446,n1,0.81375
520,3.312101911,n1,0.81375
521,3.184713376,n1,0.81375
522,3.439490446,n1,0.81375
523,3.439490446,n1,0.81375
524,3.566878981,n1,0.81375
525,3.439490446,n1,0.81375
526,3.566878981,n1,0.81375
527,3.566878981,n1,0.81375
528,3.566878981,n1,0.81375
529,3.566878981,n1,0.81375
530,2.929936306,n1,0.81375
531,3.566878981,n1,0.81375
532,3.566878981,n1,0.81375
533,3.439490446,n1,0.81375
534,2.547770701,n1,0.81375
535,3.184713376,n1,0.81375
536,3.566878981,n1,0.81375
537,3.566878981,n1,0.81375
538,3.566878981,n1,0.81375
539,3.566878981,n1,0.81375
540,3.439490446,n1,0.81375
541,0,n1,0.81375
542,0,n1,0.81375
543,-0.127388535,n1,0.81375
544,-0.50955414,n1,0.81375
545,0,n1,0.81375
546,0,n1,0.81375
547,0,n1,0.81375
548,-0.382165605,n1,0.81375
549,0,n1,0.81375
550,-0.50955414,n1,0.81375
551,0,n1,0.81375
552,0,n1,0.81375
553,0,n1,0.81375
554,0,n1,0.81375
555,0,n1,0.81375
556,-1.146496815,n1,0.81375
557,-0.382165605,n1,0.81375
558,0,n1,0.81375
559,-0.127388535,n1,0.81375
560,-0.382165605,n1,0.81375
561,-0.50955414,n1,0.81375
562,0,n1,0.81375
563,-0.25477707,n1,0.81375
564,0,n1,0.81375
565,0,n1,0.81375
566,0,n1,0.81375
567,-0.127388535,n1,0.81375
568,0,n1,0.81375
569,-0.127388535,n1,0.81375
570,-0.127388535,n1,0.81375
571,0,n1,0.81375
572,-0.25477707,n1,0.81375
573,0,n1,0.81375
574,-0.50955414,n1,0.81375
575,-0.127388535,n1,0.81375
576,-0.127388535,n1,0.81375
577,-0.25477707,n1,0.81375
578,0,n1,0.81375
579,-0.127388535,n1,0.81375
580,0,n1,0.81375
581,-0.891719745,n1,0.81375
582,-0.127388535,n1,0.81375
583,0,n1,0.81375
584,-0.382165605,n1,0.81375
585,0,n1,0.81375
586,0,n1,0.81375
587,-0.25477707,n1,0.81375
588,-0.636942675,n1,0.81375
589,-0.382165605,n1,0.81375
590,-0.127388535,n1,0.81375
591,-0.382165605,n1,0.81375
592,-0.127388535,n1,0.81375
593,0,n1,0.81375
594,0,n1,0.81375
595,0,n1,0.81375
596,-0.127388535,n1,0.81375
597,-0.25477707,n1,0.81375
598,-0.50955414,n1,0.81375
599,-0.127388535,n1,0.81375
600,-3.821656051,n1,0.81375
601,-3.184713376,n1,0.81375
602,0,n1,0.81375
603,-0.25477707,n1,0.81375
604,-0.25477707,n1,0.81375
605,0,n1,0.81375
606,-0.127388535,n1,0.81375
607,0,n1,0.81375
608,-0.891719745,n1,0.81375
609,-0.127388535,n1,0.81375
610,-0.25477707,n1,0.81375
611,-0.382165605,n1,0.81375
612,-0.127388535,n1,0.81375
613,-0.127388535,n1,0.81375
614,0,n1,0.81375
615,-0.127388535,n1,0.81375
616,0,n1,0.81375
617,0,n1,0.81375
618,0,n1,0.81375
619,0,n1,0.81375
620,-0.636942675,n1,0.81375
621,0,n1,0.81375
622,0,n1,0.81375
623,-0.127388535,n1,0.81375
624,-1.01910828,n1,0.81375
625,-0.382165605,n1,0.81375
626,0,n1,0.81375
627,0,n1,0.81375
628,0,n1,0.81375
629,0,n1,0.81375
630,-0.127388535,n1,0.81375
631,1.01910828,n1,0.81375
632,1.01910828,n1,0.81375
633,0.891719745,n1,0.81375
634,0.50955414,n1,0.81375
635,1.01910828,n1,0.81375
636,1.01910828,n1,0.81375
637,1.01910828,n1,0.81375
638,0.636942675,n1,0.81375
639,1.01910828,n1,0.81375
640,0.50955414,n1,0.81375
641,1.01910828,n1,0.81375
642,1.01910828,n1,0.81375
643,1.01910828,n1,0.81375
644,1.01910828,n1,0.81375
645,1.01910828,n1,0.81375
646,-0.127388535,n1,0.81375
647,0.636942675,n1,0.81375
648,1.01910828,n1,0.81375
649,0.891719745,n1,0.81375
650,0.636942675,n1,0.81375
651,0.50955414,n1,0.81375
652,1.01910828,n1,0.81375
653,0.76433121,n1,0.81375
654,1.01910828,n1,0.81375
655,1.01910828,n1,0.81375
656,1.01910828,n1,0.81375
657,0.891719745,n1,0.81375
658,1.01910828,n1,0.81375
659,0.891719745,n1,0.81375
660,0.891719745,n1,0.81375
661,1.01910828,n1,0.81375
662,0.76433121,n1,0.81375
663,1.01910828,n1,0.81375
664,0.50955414,n1,0.81375
665,0.891719745,n1,0.81375
666,0.891719745,n1,0.81375
667,0.76433121,n1,0.81375
668,1.01910828,n1,0.81375
669,0.891719745,n1,0.81375
670,1.01910828,n1,0.81375
671,0.127388535,n1,0.81375
672,0.891719745,n1,0.81375
673,1.01910828,n1,0.81375
674,0.636942675,n1,0.81375
675,1.01910828,n1,0.81375
676,1.01910828,n1,0.81375
677,0.76433121,n1,0.81375
678,0.382165605,n1,0.81375
679,0.636942675,n1,0.81375
680,0.891719745,n1,0.81375
681,0.636942675,n1,0.81375
682,0.891719745,n1,0.81375
683,1.01910828,n1,0.81375
684,1.01910828,n1,0.81375
685,1.01910828,n1,0.81375
686,0.891719745,n1,0.81375
687,0.76433121,n1,0.81375
688,0.50955414,n1,0.81375
689,0.891719745,n1,0.81375
690,-2.802547771,n1,0.81375
691,-2.165605096,n1,0.81375
692,1.01910828,n1,0.81375
693,0.76433121,n1,0.81375
694,0.76433121,n1,0.81375
695,1.01910828,n1,0.81375
696,0.891719745,n1,0.81375
697,1.01910828,n1,0.81375
698,0.127388535,n1,0.81375
699,0.891719745,n1,0.81375
700,0.76433121,n1,0.81375
701,0.636942675,n1,0.81375
702,0.891719745,n1,0.81375
703,0.891719745,n1,0.81375
704,1.01910828,n1,0.81375
705,0.891719745,n1,0.81375
706,1.01910828,n1,0.81375
707,1.01910828,n1,0.81375
708,1.01910828,n1,0.81375
709,1.01910828,n1,0.81375
710,0.382165605,n1,0.81375
711,1.01910828,n1,0.81375
712,1.01910828,n1,0.81375
713,0.891719745,n1,0.81375
714,0,n1,0.81375
715,0.636942675,n1,0.81375
716,1.01910828,n1,0.81375
717,1.01910828,n1,0.81375
718,1.01910828,n1,0.81375
719,1.01910828,n1,0.81375
720,0.891719745,n1,0.81375
721,0,n1,0.81375
722,0,n1,0.81375
723,-0.127388535,n1,0.81375
724,-0.50955414,n1,0.81375
725,0,n1,0.81375
726,0,n1,0.81375
727,0,n1,0.81375
728,-0.382165605,n1,0.81375
729,0,n1,0.81375
730,-0.50955414,n1,0.81375
731,0,n1,0.81375
